id,campaign_id,account_id,date,placement,spend,impressions,clicks,ctr,button_rate,lead_count,lead_cost
1,1,1,2026-08-10,信息流,21509,209184,2562,0.0122,0.0383,45,477.98
2,1,1,2026-08-10,搜索,21708,206868,3882,0.0188,0.0568,93,233.42
3,1,1,2026-08-11,信息流,20564,188331,2316,0.0123,0.0366,46,447.04
4,1,1,2026-08-11,搜索,19754,327127,4575,0.014,0.0495,127,155.54
5,1,1,2026-08-12,信息流,19651,297757,5327,0.0179,0.0543,116,169.41
6,1,1,2026-08-12,搜索,19526,363013,5890,0.0162,0.0383,104,187.75
7,1,1,2026-08-13,信息流,20263,268236,3492,0.013,0.0414,73,277.58
8,1,1,2026-08-13,搜索,19404,338263,4953,0.0146,0.0313,83,233.78
9,1,1,2026-08-14,信息流,13455,279230,3570,0.0128,0.0388,81,166.11
10,1,1,2026-08-14,搜索,13940,331349,4613,0.0139,0.0321,88,158.41
11,1,1,2026-08-15,信息流,14283,255861,5591,0.0219,0.0557,205,69.67
12,1,1,2026-08-15,搜索,13478,252869,4180,0.0165,0.055,103,130.85
13,1,1,2026-08-16,信息流,13177,234921,4393,0.0187,0.0511,135,97.61
14,1,1,2026-08-16,搜索,12596,339680,6233,0.0183,0.046,135,93.3
15,2,2,2026-08-10,信息流,15646,279471,4108,0.0147,0.0578,143,109.41
16,2,2,2026-08-10,搜索,15149,359467,5479,0.0152,0.053,121,125.2
17,2,2,2026-08-11,信息流,15265,391037,5925,0.0152,0.038,104,146.78
18,2,2,2026-08-11,搜索,16361,409734,7858,0.0192,0.0364,157,104.21
19,2,2,2026-08-12,信息流,17016,300285,4032,0.0134,0.0342,85,200.19
20,2,2,2026-08-12,搜索,16803,248876,4845,0.0195,0.0429,119,141.2
21,2,2,2026-08-13,信息流,16691,237493,5218,0.022,0.0341,97,172.07
22,2,2,2026-08-13,搜索,17497,192351,3964,0.0206,0.0346,61,286.84
23,2,2,2026-08-14,信息流,17593,290666,5221,0.018,0.0415,125,140.74
24,2,2,2026-08-14,搜索,17158,318704,4625,0.0145,0.0466,147,116.72
25,2,2,2026-08-15,信息流,17843,368932,4849,0.0131,0.0565,171,104.35
26,2,2,2026-08-15,搜索,18024,348024,5360,0.0154,0.0388,93,193.81
27,2,2,2026-08-16,信息流,16706,369292,7665,0.0208,0.0379,159,105.07
28,2,2,2026-08-16,搜索,17065,313085,6614,0.0211,0.0561,181,94.28
29,3,3,2026-08-10,信息流,13508,313080,5663,0.0181,0.0346,123,109.82
30,3,3,2026-08-10,搜索,13304,384112,8152,0.0212,0.0576,272,48.91
31,3,3,2026-08-11,信息流,13450,185105,2428,0.0131,0.0409,69,194.93
32,3,3,2026-08-11,搜索,13079,242770,3053,0.0126,0.0563,117,111.79
33,3,3,2026-08-12,信息流,12875,371865,6269,0.0169,0.0321,126,102.18
34,3,3,2026-08-12,搜索,14268,212967,2829,0.0133,0.0443,70,203.83
35,3,3,2026-08-13,信息流,13142,318326,6597,0.0207,0.0427,130,101.09
36,3,3,2026-08-13,搜索,13704,377988,7294,0.0193,0.036,129,106.23
37,3,3,2026-08-14,信息流,14175,350361,5512,0.0157,0.057,168,84.38
38,3,3,2026-08-14,搜索,13307,238903,3019,0.0126,0.0306,52,255.9
39,3,3,2026-08-15,信息流,14155,237728,2869,0.0121,0.0512,61,232.05
40,3,3,2026-08-15,搜索,13088,417350,5139,0.0123,0.0399,113,115.82
41,3,3,2026-08-16,信息流,13770,355368,5989,0.0169,0.0462,170,81.0
42,3,3,2026-08-16,搜索,14369,331050,5537,0.0167,0.0535,190,75.63
43,5,5,2026-08-10,信息流,23589,204726,2655,0.013,0.0429,60,393.15
44,5,5,2026-08-10,搜索,24156,406449,7840,0.0193,0.0502,273,88.48
45,5,5,2026-08-11,信息流,23901,195889,3139,0.016,0.0402,83,287.96
46,5,5,2026-08-11,搜索,24209,230224,3200,0.0139,0.0435,73,331.63
47,5,5,2026-08-12,信息流,24770,301275,4367,0.0145,0.0577,134,184.85
