id,name,track,product,budget_est,signal,source_url,heat,research_report,status,account_id
1,研途考研,学历提升,考研辅导,1300000,#考研倒计时 阅读破 3.2 亿，进入种草窗口,https://example.com/yt,3,研途考研近期启动「百日冲刺」营销，官网新增 3 个校区；与小红书 KA 广告匹配点：考研人群高度活跃、种草转化链路成熟，建议以「上岸经验」真人笔记切入。,未转,13
2,成人在线学堂,学历提升,成人高考,2000000,成人高考 8 月报名季开启，咨询量周环比 +41%,https://example.com/cr,3,成人在线学堂全国招生，近期加大信息流预算；匹配点：学历提升赛道留资成本低、客单高，适合规模化投放。,未转,14
3,新航道雅思,语言留学,雅思/托福,900000,#雅思换题季 讨论升温，搜索量周环比 +28%,https://example.com/xhd,2,新航道雅思进入秋季招生，新开 2 家分校；匹配点：留学人群高客单、内容种草空间大。,未转,10
4,导氮公考,考公考编,考公笔试,800000,#省考公告 即将发布，公考话题热度攀升,https://example.com/dd,2,导氮公考区域扩张，校长重视续费率；匹配点：考公赛道转化高、适合私域+公域组合。,未转,4
5,尚德机构,职业教育,学历提升,1500000,职业教育合规整改后重新放量，品牌搜索回升,https://example.com/sd,2,尚德机构重启品牌投放，运营总监关注转化链路；匹配点：成人学历需求稳定。,未转,6
6,朗阁教育,职业语言,雅思/小语种,800000,#小语种就业 话题升温，企业培训需求增加,https://example.com/lg,1,朗阁教育价格敏感，市场偏微信沟通；匹配点：小语种垂直人群精准。,未转,12
7,正保会计,职业教育,会计网课,1200000,#CPA报名 季临近，财会人群活跃,https://example.com/zj,2,正保会计技术派，关心内容质量；匹配点：财会考证人群高意向。,未转,7
8,文都考研,学历提升,考研辅导,1200000,#考研择校 话题热，辅导需求前置,https://example.com/wd,2,文都考研务实，负责人电话沟通；匹配点：考研全周期可运营。,未转,15
9,美术宝,兴趣教育,少儿美术,1800000,#美育政策 利好，少儿艺术培训升温,https://example.com/mb,2,美术宝近期获融资，扩科至素描/动漫；匹配点：兴趣赛道留资成本低、家长决策快。,未转,16
10,VIP陪练,兴趣教育,音乐陪练,1200000,#音乐素养 纳入综合素质评价，需求上升,https://example.com/vip,2,VIP陪练主打一对一乐器陪练；匹配点：高客单、家长社群易裂变。,未转,18
11,动因体育,兴趣教育,体育篮球,1500000,#青少年体育 政策鼓励，篮球培训热,https://example.com/dy,1,动因体育区域连锁；匹配点：到店转化链路清晰。,未转,20
12,凯叔讲故事,兴趣教育,儿童阅读,1000000,#亲子阅读 话题升温，内容种草空间大,https://example.com/ks,2,凯叔讲故事强内容IP；匹配点：故事感内容易传播。,未转,21
