id,account_id,campaign_id,title,copy,type,cover_url,placement,ctr,leads,reuse_count
1,1,1,百日冲刺·学长说,真实上岸学员第一视角，分享备考节奏与心态,图文,sim://yt1.jpg,信息流,0.021,180,3
2,1,1,公考热点解读,结合本周省考公告，拆解报考要点,图文,sim://ht2.jpg,搜索,0.018,120,5
3,2,2,中公品牌片,品牌调性温和，强调专业与陪伴,视频,sim://zg3.jpg,信息流,0.015,90,2
4,3,3,粉笔刷题日常,年轻化表达，刷题梗+福利钩子,视频,sim://fb4.jpg,信息流,0.024,210,4
5,5,4,高顿 CPA 揭秘,财经干货，对标竞品数据,图文,sim://gd5.jpg,搜索,0.02,160,6
6,9,5,留学案例墙,真实录取案例，强口碑,图文,sim://xdf6.jpg,信息流,0.019,140,2
7,1,1,华图模考报名,按钮引导模考报名，留资钩子,图文,sim://ht7.jpg,信息流,0.017,110,3
8,3,3,粉笔公开课,免费公开课引流，沉淀私域,视频,sim://fb8.jpg,搜索,0.022,170,5
9,5,4,高顿就业报告,就业数据背书，增强信任,图文,sim://gd9.jpg,信息流,0.021,150,4
10,9,5,前途导师说,导师真人出镜，讲留学规划,视频,sim://xdf10.jpg,搜索,0.018,100,2
11,16,6,美术宝学员作品,真实小学员画作+故事，家长共鸣,图文,sim://mb11.jpg,信息流,0.023,190,3
12,17,7,编程猫闯关,少儿编程闯关动画，免费试听钩子,视频,sim://bm12.jpg,信息流,0.025,230,4
13,25,8,青鸟就业报告,IT就业数据背书，强转化,图文,sim://bq13.jpg,搜索,0.021,160,5
